28 48 85 -45
191 84 54 45

Coordinates
1       -21.72       0.7234          -50
2       -21.72       0.7234      -46.429
3       -21.72       4.5586          -50
4      -19.413       2.6951      -47.469
5      -17.218       0.7234          -50
6       -21.72       4.5586      -46.429
7      -17.218      0.72339      -46.429
8      -17.218       4.5586          -50
9      -19.413       6.5303      -47.469
10      -19.413       2.6951      -43.897
11       -21.72       0.7234      -42.857
12      -14.911       2.6951      -47.469
13       -21.72       8.3938          -50
14      -17.106       4.6668      -44.938
15       -21.72       4.5586      -42.857
16      -17.218      0.72339      -42.857
17       -21.72       8.3938      -46.429
18      -19.413       6.5303      -43.897
19      -17.218       8.3938          -50
20      -12.716       0.7234          -50
21      -14.911       6.5303      -47.469
22      -14.911       2.6951      -43.897
23      -17.218       8.3938      -46.429
24      -12.716       0.7234      -46.429
25      -12.716       4.5586          -50
26      -19.012        2.681      -40.233
27      -12.716       4.5586      -46.429
28       -21.72       8.3938      -42.857
29       -21.72       0.7234      -39.286
30      -16.705       4.6527      -41.273
31      -14.911       6.5303      -43.897
32       -21.72       4.5586      -39.286
33      -17.218       8.3938      -42.857
34      -12.716       0.7234      -42.857
35      -19.413       6.5303      -40.326
36      -17.218      0.72339      -39.286
37      -12.716       8.3938          -50
38      -12.716       4.5586      -42.857
39       -14.51        2.681      -40.233
40      -12.716       8.3938      -46.429
41       -21.72       8.3938      -39.286
42       -14.51       6.5162      -40.233
43      -19.012        2.681      -36.662
44      -12.716       8.3938      -42.857
45      -17.218       8.3938      -39.286
46      -12.716       0.7234      -39.286
47      -16.304       4.6386      -37.609
48       -21.72       0.7234      -35.714
49      -12.716       4.5586      -39.286
50       -21.72       4.5586      -35.714
51      -19.012       6.5162      -36.662
52      -17.218      0.72339      -35.714
53       -14.51        2.681      -36.662
54      -12.716       8.3938      -39.286
55       -21.72       8.3938      -35.714
56       -14.51       6.5162      -36.662
57      -17.218       8.3938      -35.714
58      -12.716       0.7234      -35.714
59      -17.255        4.588      -33.736
60      -12.716       4.5586      -35.714
61      -19.963       2.6304      -32.789
62       -21.72       0.7234      -32.143
63      -19.963       6.4656      -32.789
64       -21.72       4.5586      -32.143
65      -15.461       2.6304      -32.789
66      -17.218      0.72339      -32.143
67      -12.716       8.3938      -35.714
68      -15.461       6.4656      -32.789
69       -21.72       8.3938      -32.143
70      -17.218       8.3938      -32.143
71      -12.716       0.7234      -32.143
72      -12.716       4.5586      -32.143
73      -18.207       4.5374      -29.864
74      -19.963       2.6304      -29.218
75      -12.716       8.3938      -32.143
76       -21.72       0.7234      -28.571
77      -19.963       6.4656      -29.218
78       -21.72       4.5586      -28.571
79      -15.461       2.6304      -29.218
80      -17.218      0.72339      -28.571
81      -15.461       6.4656      -29.218
82       -21.72       8.3938      -28.571
83      -17.218       8.3938      -28.571
